Survived,PassengerId,Name,Sex,Age,Pclass,Fare,Embarked
0,864,"Sage, Miss. Dorothy Edith ""Dolly""",1,,3,69.55,S
0,865,"Gill, Mr. John William",0,24,2,13,S
1,866,"Bystrom, Mrs. (Karolina)",1,42,2,13,S
1,867,"Duran y More, Miss. Asuncion",1,27,2,13.8583,C
0,868,"Roebling, Mr. Washington Augustus II",0,31,1,50.4958,S
0,869,"van Melkebeke, Mr. Philemon",0,,3,9.5,S
1,870,"Johnson, Master. Harold Theodor",0,4,3,11.1333,S
0,871,"Balkic, Mr. Cerin",0,26,3,7.8958,S
1,872,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",1,47,1,52.5542,S
0,873,"Carlsson, Mr. Frans Olof",0,33,1,5,S
0,874,"Vander Cruyssen, Mr. Victor",0,47,3,9,S
1,875,"Abelson, Mrs. Samuel (Hannah Wizosky)",1,28,2,24,C
1,876,"Najib, Miss. Adele Kiamie ""Jane""",1,15,3,7.225,C
0,877,"Gustafsson, Mr. Alfred Ossian",0,20,3,9.8458,S
0,878,"Petroff, Mr. Nedelio",0,19,3,7.8958,S
0,879,"Laleff, Mr. Kristo",0,,3,7.8958,S
1,880,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",1,56,1,83.1583,C
1,881,"Shelley, Mrs. William (Imanita Parrish Hall)",1,25,2,26,S
0,882,"Markun, Mr. Johann",0,33,3,7.8958,S
0,883,"Dahlberg, Miss. Gerda Ulrika",1,22,3,10.5167,S
0,884,"Banfield, Mr. Frederick James",0,28,2,10.5,S
0,885,"Sutehall, Mr. Henry Jr",0,25,3,7.05,S
0,886,"Rice, Mrs. William (Margaret Norton)",1,39,3,29.125,Q
0,887,"Montvila, Rev. Juozas",0,27,2,13,S
1,888,"Graham, Miss. Margaret Edith",1,19,1,30,S
0,889,"Johnston, Miss. Catherine Helen ""Carrie""",1,,3,23.45,S
1,890,"Behr, Mr. Karl Howell",0,26,1,30,C
0,891,"Dooley, Mr. Patrick",0,32,3,7.75,Q
